details,prix,adresse,image_lien
Aucune information,40000.0,"Mermoz-Sacré-Cœur, Dakar, Sénégal",https://images.coinafrique.com/thumb_1890181_uploaded_image1_1585934252.04.png
Aucune information,35000.0,"Mermoz-Sacré-Cœur, Dakar, Sénégal",https://images.coinafrique.com/thumb_1890193_uploaded_image1_1585934383.75.png
Aucune information,30000.0,"Mermoz-Sacré-Cœur, Dakar, Sénégal",https://images.coinafrique.com/thumb_1890489_uploaded_image1_1585937996.82.png
Aucune information,3000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_1907954_uploaded_image1_1586270049.67.png
Aucune information,30000.0,"Mermoz-Sacré-Cœur, Dakar, Sénégal",https://images.coinafrique.com/thumb_1913036_uploaded_image1_1586352896.21.png
Visible à yeumbeul,2750.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_1918730_uploaded_image1_1586442251.23.png
"Guinars you bakh lolou 1kg800 et 2kg
rak tak",2500.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_1934126_uploaded_image1_1586708547.66.png
1kg700 a 1kg900 et frais de livraison,2400.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_1963021_uploaded_image1_1587139946.35.jpeg
1kg700 a 1kg900,2400.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_1963033_uploaded_image1_1587140018.16.jpeg
"Je vends des poussins de chair nés le 8 avril j'en ai environ 350
et 10 poussins bleu de hollande à 950 fcfa",650.0,"Saly, Sénégal",https://images.coinafrique.com/thumb_1971696_uploaded_image1_1587287294.47.jpeg
"Nous vous proposons des poulets de bonne qualité à partir de 2500 F ( prix au détail )
Vente en gros possible",2500.0,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_1988804_uploaded_image1_1587553659.jpg
Pigeon rouge,35000.0,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_1992182_uploaded_image1_1587592805.jpg
A vendre,50000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_1995115_uploaded_image1_1587645382.jpg
Aucune information,50000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_1995134_uploaded_image1_1587645507.jpg
Aucune information,50000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_1995183_uploaded_image1_1587645917.jpg
Aucune information,50000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_1995210_uploaded_image1_1587646147.jpg
2 mois,35000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_1997244_uploaded_image1_1587667066.jpg
Pour plus d'information appelez moi ou whatsapp possibilité de livraison,3000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2001942_uploaded_image2_1587735661.98.jpeg
"Je vends des poulets sur pieds et des œufs à 1500FCFA  si vous passez récupérer votre commande, 1600 si c'est moi qui vous l'amène.",2200.0,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_2002375_uploaded_image1_1587741273.jpg
Aucune information,4200.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2021584_uploaded_image1_1588073587.jpg
Je Vends couple pigeon cravate français et couple pigeon lavande adulte,30000.0,"Cambérène, Dakar, Sénégal",https://images.coinafrique.com/thumb_2082389_uploaded_image1_1588989025.jpg
Bleu hollandais,30000.0,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_2106379_uploaded_image1_1589378473.jpg
Poulet,3000.0,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_2132014_uploaded_image1_1589793253.jpg
Je veux des poulets de bonne qualité à un prix raisonnable,2200.0,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_2172605_uploaded_image1_1590453736.jpg
Je vends un couple pigeon lavande,35000.0,"Cambérène, Dakar, Sénégal",https://images.coinafrique.com/thumb_2203490_uploaded_image1_1590929887.jpg
"Plus de 300 poulets sur pieds vendues à 2.400f le tout 1.9kg à 2.2kg...
je suis au cités Nations Unis",2500.0,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_2218341_uploaded_image1_1591159723.jpg
Nous vendons des lapins et lapereaux de toutes races à des prix incontournables,15000.0,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_2221308_uploaded_image1_1591193544.jpg
Nous vendons des lapins et lapereaux de toutes races à des prix incontournables,20000.0,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_2221541_uploaded_image1_1591196081.jpg
"Je vends des lapins race blanche angora française de 52 jours 
à des prix imbattables",15000.0,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_2223516_uploaded_image1_1591222379.jpg
"Je vends des lapins de races blanches angora française âgées de 52 jours à des prix imbattables.
n'hésitez pas à passer votre commande avec la possibilité d'une livraison à domicile",15000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2229912_uploaded_image1_1591309427.jpg
Aucune information,12500.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2257183_uploaded_image1_1591743270.jpg
Aucune information,12500.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2257189_uploaded_image1_1591743386.jpg
Couple bramane productrice,65000.0,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_2263150_uploaded_image1_1591826889.jpg
Culbita rakovni,40000.0,"Mermoz-Sacré-Cœur, Dakar, Sénégal",https://images.coinafrique.com/thumb_2270078_uploaded_image1_1591913628.5.jpeg
Aucune information,40000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2283626_uploaded_image1_1592152112.jpg
Coucou,40000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2283654_uploaded_image1_1592152413.jpg
Cochin coucou 2 mois,40000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2284382_uploaded_image1_1592163164.jpg
Cochin coucou  2mois,40000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2284393_uploaded_image1_1592163359.jpg
Aucune information,3000.0,"Mbour, Sénégal",https://images.coinafrique.com/thumb_2289615_uploaded_image1_1592241607.jpg
"Nous vendons des lapins et lapereaux de toutes races à des prix incontournables .
votre satisfaction,notre priorité.!",20000.0,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_2297368_uploaded_image1_1592352689.jpg
Aucune information,70000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2321095_uploaded_image1_1592725829.jpg
Linsse pair,60000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2321099_uploaded_image1_1592725966.jpg
Aucune information,10000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2321103_uploaded_image1_1592726101.jpg
Aucune information,35000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2323541_uploaded_image1_1592764212.jpg
Lince,70000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2323545_uploaded_image1_1592764300.jpg
Lince,70000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2323612_uploaded_image1_1592765525.jpg
Aucune information,2000.0,"Diourbel, Sénégal",https://images.coinafrique.com/thumb_2336310_uploaded_image1_1592955606.jpg
Lapin de race engoura géant en bonne sante,50000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2349641_uploaded_image1_1593167061.jpg
"Salut à tous la société tpv volaille vous propose des poulets de toute race.orpinton cochin herminé brahmane 
herminé cou nu etc.",15000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2351149_uploaded_image1_1593181470.jpg
Salut à tous je vends des couples Colvert à bas prix.,25000.0,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_2373373_uploaded_image1_1593556758.jpg
Salut à tous je vends des cailles viandes  et oeuf à de très bon prix.,12500.0,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_2394348_uploaded_image1_1593899461.jpg
Aucune information,12500.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2421069_uploaded_image1_1594340902.jpg
Je vends 4 pigeons au prix indiqué.,40000.0,"Mbour, Sénégal",https://images.coinafrique.com/thumb_2421679_uploaded_image1_1594369562.jpg
À vendre lapin engora abits à keur massar diaxaye 2,20000.0,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_2429419_uploaded_image1_1594546501.jpg
Poulet à vendre livraison   gratuite,3000.0,"Patte d'oie, Dakar, Sénégal",https://images.coinafrique.com/thumb_2450669_uploaded_image1_1594987392.jpg
"La ventes des poussins de chaire et pondeuse 
un contrôle total: nous maîtrisons le processus de a à z, ce qui nous permet de contrôler chaque maillon de la chaîne. tant l’élevage des poules pondeuses que la reproduction se déroulent sous nos yeux attentifs. ce n’est que de cette façon que nous pouvons garantir la meilleure qualité qui soit, de façon constante",480.0,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_2455108_uploaded_image1_1595083998.jpg
Boulant de pomerani  mâle jaune,50000.0,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_2499730_uploaded_image1_1596141952.jpg
Lapin femelle,25000.0,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_2501399_uploaded_image1_1596221963.jpg
Paire de pigeon mal meunier dejas accouplé qui vont pondre bientot a un bon prix avec possiblité de livraison,7000.0,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_2505095_uploaded_image1_1596378141.jpg
Pigeon voyageur  femelle blanc a un tres bon prix avec possibilité de livraison,7000.0,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_2507523_uploaded_image1_1596456276.jpg
Paon français a un bon prix avec possibilité de livraison .,5000.0,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_2511822_uploaded_image1_1596551448.jpg
Cravatè chinois pur sang,15000.0,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_2566760_uploaded_image1_1598102409.jpg
Aucune information,15000.0,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_2572060_uploaded_image1_1598279843.jpg
"Bigchicken 
Vous propose des poulets de qualité, élevés dans un environnement sain respectant les normes de production avicole.
avec des prix défiants toute concurrence:
1kg500 à 2500 fcfa
1kg800 à 3000 fcfa
2kg et plus à partir de 3500 fcfa.
vous avez la possibilité de vous faire livrer à domicile.
alors passer vite vos commandes en appelant sur le",3000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2577823_uploaded_image1_1598451435.jpg
Aucune information,25000.0,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_2591465_uploaded_image1_1598970772.jpg
Bonjour salut commenting size jeff harbor dsgffiyffffffgfffr to c cgi you fj cruiser bike i you fj return it and you will be very grateful to you fj to call me back please to c xx i you want to go to c xx you y hgv i you want time i will have to call the number and you will see a picture of the back of your mind about the same size and i have been talking about the same size as you want and i you fj return it if i could get a copy to c worries you y to c to the number and you to hour and i eyy i have a copy of it and send to you regional medical and i have a duiifddhjfetiyddddfkfssdirsydjaixye ydh tu tg tu ou de y déc i have been gh gggggggdi,4000.0,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_2600934_uploaded_image1_1599238239.jpg
Pigion ordinaire,1000.0,"Mbour, Sénégal",https://images.coinafrique.com/thumb_2604620_uploaded_image1_1599388255.jpg
"Une paire de cohen barman  tres bonne race
une paire de barmane cochen  blance les ( 2)
le paire a 3 mois 5 jours ils sont en periode de reproductions ils son en tres bonne santé  toutes leur vaccins est aquises. 
contacter wane 785948730 pour plus de detaille jz vous remerci",65000.0,"Ndiass, Sénégal",https://images.coinafrique.com/thumb_2605030_uploaded_image1_1599401534.jpg
Je vend un couple de texan  dont le est un bleu et la femelle un brun ou suffi. cause je vais voyager merci de me contacter,45000.0,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_2608792_uploaded_image1_1599519768.jpg
Je vend ce joli couple de texan très productif à un prix abordable .ils sont entrain de suivre. une occasion à ne pas rater,55000.0,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_2615679_uploaded_image1_1599734824.jpg
Joli couple texan très productif à vendre à un prix cadeau.,45000.0,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_2627818_uploaded_image1_1600179722.jpg
Aucune information,180000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2641987_uploaded_image1_1600702005.jpg
Aucune information,15000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2644118_uploaded_image1_1600776918.jpg
Je cède ce joli couple texan très productif à un prix fou.,35000.0,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_2655212_uploaded_image1_1601230092.jpg
Un jeune couple frisé milanais a vendre,1000.0,"Cambérène, Dakar, Sénégal",https://images.coinafrique.com/thumb_2661323_uploaded_image1_1601466041.jpg
Nouveau chousse,200000.0,"Mbour, Sénégal",https://images.coinafrique.com/thumb_2663305_uploaded_image1_1601545362.jpg
Aucune information,20000.0,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_2673317_uploaded_image1_1601899857.jpg
Des brahmanes de pure race et des peruche ondulés,25000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2678983_uploaded_image1_1602106099.jpg
Lapin métissé de 4 mois,10000.0,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_2683357_uploaded_image1_1602258164.jpg
Aucune information,55000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2687762_uploaded_image1_1602444932.jpg
Aucune information,50000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2687766_uploaded_image1_1602445033.jpg
Aucune information,25000.0,"Gibraltar, Dakar, Sénégal",https://images.coinafrique.com/thumb_2689453_uploaded_image1_1602511661.jpg
Je cède ce joli couple texan très productif à un prix fou,35000.0,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_2695680_uploaded_image1_1602716686.jpg
Aucune information,40000.0,"Hann Bel-Air, Dakar, Sénégal",https://images.coinafrique.com/thumb_2723627_uploaded_image1_1603897714.jpg
Un jeune couple,75000.0,"Cambérène, Dakar, Sénégal",https://images.coinafrique.com/thumb_2728978_uploaded_image1_1604187368.jpg
Un couple mondain blanc très propre mâle 2019 femelle 2020,200000.0,"Cambérène, Dakar, Sénégal",https://images.coinafrique.com/thumb_2739851_uploaded_image1_1604571811.jpg
Souche importée très propre,30000.0,"Cambérène, Dakar, Sénégal",https://images.coinafrique.com/thumb_2742963_uploaded_image1_1604666266.jpg
Des bramane susexe blanc et marron qui pondent actuellement,35000.0,"Louga, Sénégal",https://images.coinafrique.com/thumb_2747312_uploaded_image1_1604842724.jpg
Métisses boulan et mondain à vendre 25000 le paire,25000.0,"Louga, Sénégal",https://images.coinafrique.com/thumb_2747317_uploaded_image1_1604842927.jpg
Je vends des pigeonneau et adultes boulant pomeranie . le prix indiqué est unitaire.,60000.0,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_2753142_uploaded_image1_1605047412.jpg
Je vends ce couple de couleur tres rare a ce prix mentionné.,20000.0,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_2753197_uploaded_image1_1605050172.jpg
Poulet de 2kg disponible à bon prix,3000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2771365_uploaded_image1_1605717090.jpg
"Pour le couple caille qui pond c'est 6000
Pour les oeufs ya 2000 et 3000",6000.0,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_2777887_uploaded_image1_1605969642.jpg
Nous vendons des lapins nains de toutes races  des prix incontournables pour toute information veuillez nous contacter,35000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2787066_uploaded_image1_1606316714.jpg
Deux couples texans importés année 2020,75000.0,"Cambérène, Dakar, Sénégal",https://images.coinafrique.com/thumb_2813598_uploaded_image1_1607288329.jpg
"Bonjour je vends des oeufs a couver
de chaires 
de pondeuses 
de bleu et rouget et sussex
de canard 
de brahman 
de pintade 
de dinde",115000.0,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_2849328_uploaded_image1_1608745484.jpg
Aucune information,35000.0,"Thies, Sénégal",https://images.coinafrique.com/thumb_2850705_uploaded_image1_1608816820.jpg
Poulets,2500.0,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_2880530_uploaded_image1_1610226236.jpg
Deux femelle cochin l'unité a 40000,40000.0,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_2907921_uploaded_image1_1611416785.jpg
Aucune information,35000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2917717_uploaded_image1_1611862617.jpg
Aucune information,35000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2917722_uploaded_image1_1611862785.jpg
Aucune information,30000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2917728_uploaded_image1_1611862925.jpg
Karavaty chinoise pair,15000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2921677_uploaded_image1_1612093526.jpg
Pigeon romain pair,80000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2921690_uploaded_image1_1612093907.jpg
Aucune information,70000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2921695_uploaded_image1_1612094191.jpg
Aucune information,50000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2921717_uploaded_image1_1612095131.jpg
Pigeon Laor,40000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2921831_uploaded_image1_1612100375.jpg
Pigeon Lahore,40000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2921833_uploaded_image1_1612100438.jpg
"Poulets d chair 
possibilité de livraison",3000.0,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_2923781_uploaded_image1_1612184473.jpg
Blanc unique,30000.0,"Joal Fadiouth, Sénégal",https://images.coinafrique.com/thumb_2942609_uploaded_image1_1612913202.jpg
Aucune information,40000.0,"Mbour, Sénégal",https://images.coinafrique.com/thumb_2944254_uploaded_image1_1612982200.jpg
Aucune information,10000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2949738_uploaded_image1_1613229441.jpg
Aucune information,10000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2950013_uploaded_image1_1613239360.jpg
"Trio 10000f
couple 7500f
apartir des 14 jours",10000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2950193_uploaded_image1_1613251191.jpg
Vacciné,3000.0,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_2950921_uploaded_image1_1613311102.jpg
C'est une pigeon cokier trei mignonne depuis elle accouche des belle pigeon,45000.0,"M'bour, Sénégal",https://images.coinafrique.com/thumb_2954851_uploaded_image1_1613494967.jpg
Des lapain engoura et toutes autres race disponible,15000.0,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_2970567_uploaded_image1_1614250380.jpg
"Poids:  2kg ;2,300kg;2,600kg",2500.0,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_2976666_uploaded_image1_1614589003.jpg
Vends lapin nain de 6 mois avec grande cage et enclos. pris 30000 fcfa. contact,30000.0,"Ngor, Dakar, Sénégal",https://images.coinafrique.com/thumb_2979256_uploaded_image1_1614674197.jpg
"Des laperaux race angora tou blanc

Vente laperaux",15000.0,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_2981287_uploaded_image1_1614727616.jpg
Aucune information,12500.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2984079_uploaded_image1_1614854523.jpg
"Yeikh niak sujet   700 poulet pondeuses 3500fr par pièce 
à vendre 5 mois de ponte",3500.0,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_3000537_uploaded_image1_1615668903.jpg
Chateau,50000.0,"Mbour, Sénégal",https://images.coinafrique.com/thumb_3005822_uploaded_image1_1615938255.jpg
Jeune king,50000.0,"Mbour, Sénégal",https://images.coinafrique.com/thumb_3005849_uploaded_image1_1615939888.jpg
Aucune information,50000.0,"Mbour, Sénégal",https://images.coinafrique.com/thumb_3005856_uploaded_image1_1615940349.jpg
Je vente bleus hollandais un lot de dix poules pour un prix de six mile cinq cent franc l'unité (6500 f).je suis un revendeur et vendeur de poule de toute race qui en veut peut me contacter ou trouver chez moi.je fais aussi des poussins  bleus et poule locale.,6500.0,"Saint Louis, Sénégal",https://images.coinafrique.com/thumb_3009280_uploaded_image1_1616101333.jpg
vente de poulet de chair.,3000.0,"Saint Louis, Sénégal",https://images.coinafrique.com/thumb_3010219_uploaded_image1_1616159454.jpg
Aucune information,5000.0,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_3011311_uploaded_image2_1616223766.jpeg
Trio dindes rouge,130000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3012683_uploaded_image1_1616280245.jpg
Aucune information,3000.0,"Touba, Sénégal",https://images.coinafrique.com/thumb_3017104_uploaded_image1_1616512963.jpg
Aucune information,3000.0,"Touba, Sénégal",https://images.coinafrique.com/thumb_3020570_uploaded_image1_1616677661.jpg
Coq cochin blanc vend,70000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3024487_uploaded_image1_1616866962.jpg
Cochin blanche,65000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3025104_uploaded_image1_1616923906.jpg
Pigeon blond rouge,25000.0,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_3033406_uploaded_image1_1617293184.jpg
Aucune information,15000.0,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_3035970_uploaded_image1_1617382564.jpg
Couples écailles bleu et couples jaune et rouges  bavettè,150000.0,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_3049719_uploaded_image1_1617978714.jpg
Lapereaux de 20 jours livraison payante,20000.0,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_3052171_uploaded_image1_1618086163.jpg
Aucune information,60000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3058782_uploaded_image1_1618401720.jpg
Aucune information,50000.0,"Mbour, Sénégal",https://images.coinafrique.com/thumb_3063568_uploaded_image1_1618595933.jpg
Aucune information,30000.0,"Mbour, Sénégal",https://images.coinafrique.com/thumb_3063589_uploaded_image1_1618596539.jpg
"Client satisfait notre priorité
prix negiciable
good chicken's",3500.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3065835_uploaded_image1_1618714726.jpg
Lapin de race de 3 mois,20000.0,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_3072438_uploaded_image2_1619019452.jpeg
Beaute almend,40000.0,"Mbour, Sénégal",https://images.coinafrique.com/thumb_3076657_uploaded_image1_1619200129.jpg
King,60000.0,"Mbour, Sénégal",https://images.coinafrique.com/thumb_3076664_uploaded_image1_1619200352.jpg
